in s,C1 in V
-5.4176E-05,4.919E+00
-5.4160E-05,4.890E+00
-5.4144E-05,4.948E+00
-5.4128E-05,4.929E+00
-5.4112E-05,4.909E+00
-5.4096E-05,4.919E+00
-5.4080E-05,4.909E+00
-5.4064E-05,4.929E+00
-5.4048E-05,4.938E+00
-5.4032E-05,4.929E+00
-5.4016E-05,4.938E+00
-5.4000E-05,4.899E+00
-5.3984E-05,4.929E+00
-5.3968E-05,4.919E+00
-5.3952E-05,4.929E+00
-5.3936E-05,4.938E+00
-5.3920E-05,4.938E+00
-5.3904E-05,4.919E+00
-5.3888E-05,4.958E+00
-5.3872E-05,4.919E+00
-5.3856E-05,4.929E+00
-5.3840E-05,4.919E+00
-5.3824E-05,4.938E+00
-5.3808E-05,4.899E+00
-5.3792E-05,4.909E+00
-5.3776E-05,4.929E+00
-5.3760E-05,4.929E+00
-5.3744E-05,4.919E+00
-5.3728E-05,4.899E+00
-5.3712E-05,4.909E+00
-5.3696E-05,4.909E+00
-5.3680E-05,4.938E+00
-5.3664E-05,4.958E+00
-5.3648E-05,4.929E+00
-5.3632E-05,4.929E+00
-5.3616E-05,4.948E+00
-5.3600E-05,4.968E+00
-5.3584E-05,4.938E+00
-5.3568E-05,4.909E+00
-5.3552E-05,4.909E+00
-5.3536E-05,4.938E+00
-5.3520E-05,4.929E+00
-5.3504E-05,4.919E+00
-5.3488E-05,4.919E+00
-5.3472E-05,4.929E+00
-5.3456E-05,4.948E+00
-5.3440E-05,4.919E+00
-5.3424E-05,4.929E+00
-5.3408E-05,4.909E+00
-5.3392E-05,4.909E+00
-5.3376E-05,4.938E+00
-5.3360E-05,4.909E+00
-5.3344E-05,4.958E+00
-5.3328E-05,4.929E+00
-5.3312E-05,4.948E+00
-5.3296E-05,4.929E+00
-5.3280E-05,4.909E+00
-5.3264E-05,4.938E+00
-5.3248E-05,4.909E+00
-5.3232E-05,4.919E+00
-5.3216E-05,4.909E+00
-5.3200E-05,4.909E+00
-5.3184E-05,4.929E+00
-5.3168E-05,4.899E+00
-5.3152E-05,4.929E+00
-5.3136E-05,4.919E+00
-5.3120E-05,4.919E+00
-5.3104E-05,4.909E+00
-5.3088E-05,4.938E+00
-5.3072E-05,4.938E+00
-5.3056E-05,4.929E+00
-5.3040E-05,4.938E+00
-5.3024E-05,4.919E+00
-5.3008E-05,4.929E+00
-5.2992E-05,4.948E+00
-5.2976E-05,4.938E+00
-5.2960E-05,4.890E+00
-5.2944E-05,4.938E+00
-5.2928E-05,4.938E+00
-5.2912E-05,2.604E+00
-5.2896E-05,2.900E-01
-5.2880E-05,5.566E-02
-5.2864E-05,-2.930E-03
-5.2848E-05,1.660E-02
-5.2832E-05,6.836E-03
-5.2816E-05,-5.176E-02
-5.2800E-05,-2.930E-03
-5.2784E-05,-2.930E-03
-5.2768E-05,-3.223E-02
-5.2752E-05,-3.223E-02
-5.2736E-05,-2.246E-02
-5.2720E-05,6.836E-03
-5.2704E-05,-2.930E-03
-5.2688E-05,-2.930E-03
-5.2672E-05,-2.930E-03
-5.2656E-05,1.660E-02
-5.2640E-05,-2.930E-03
-5.2624E-05,-1.270E-02
-5.2608E-05,6.836E-03
-5.2592E-05,-1.270E-02
-5.2576E-05,6.836E-03
-5.2560E-05,-2.930E-03
-5.2544E-05,-2.246E-02
-5.2528E-05,-2.930E-03
-5.2512E-05,6.836E-03
-5.2496E-05,-2.930E-03
-5.2480E-05,2.637E-02
-5.2464E-05,-2.930E-03
-5.2448E-05,6.836E-03
-5.2432E-05,6.836E-03
-5.2416E-05,1.660E-02
-5.2400E-05,1.660E-02
-5.2384E-05,2.637E-02
-5.2368E-05,-2.930E-03
-5.2352E-05,1.660E-02
-5.2336E-05,6.836E-03
-5.2320E-05,-2.930E-03
-5.2304E-05,6.836E-03
-5.2288E-05,-2.930E-03
-5.2272E-05,1.660E-02
-5.2256E-05,2.637E-02
-5.2240E-05,-2.930E-03
-5.2224E-05,6.836E-03
-5.2208E-05,-2.930E-03
-5.2192E-05,3.613E-02
-5.2176E-05,2.637E-02
-5.2160E-05,1.660E-02
-5.2144E-05,-2.930E-03
-5.2128E-05,6.836E-03
-5.2112E-05,1.660E-02
-5.2096E-05,-2.246E-02
-5.2080E-05,3.613E-02
-5.2064E-05,1.660E-02
-5.2048E-05,2.637E-02
-5.2032E-05,-2.930E-03
-5.2016E-05,1.660E-02
-5.2000E-05,2.637E-02
-5.1984E-05,6.836E-03
-5.1968E-05,-3.223E-02
-5.1952E-05,6.836E-03
-5.1936E-05,-2.930E-03
-5.1920E-05,-2.930E-03
-5.1904E-05,-2.930E-03
-5.1888E-05,1.660E-02
-5.1872E-05,-2.930E-03
-5.1856E-05,1.660E-02
-5.1840E-05,-2.930E-03
-5.1824E-05,2.637E-02
-5.1808E-05,-1.270E-02
-5.1792E-05,4.590E-02
-5.1776E-05,-2.246E-02
-5.1760E-05,1.660E-02
-5.1744E-05,1.660E-02
-5.1728E-05,2.637E-02
-5.1712E-05,-2.930E-03
-5.1696E-05,-2.930E-03
-5.1680E-05,1.660E-02
-5.1664E-05,-2.930E-03
-5.1648E-05,2.637E-02
-5.1632E-05,-1.270E-02
-5.1616E-05,2.637E-02
-5.1600E-05,1.660E-02
-5.1584E-05,2.637E-02
-5.1568E-05,2.637E-02
-5.1552E-05,2.637E-02
-5.1536E-05,1.660E-02
-5.1520E-05,2.637E-02
-5.1504E-05,1.660E-02
-5.1488E-05,2.637E-02
-5.1472E-05,-2.930E-03
-5.1456E-05,2.637E-02
-5.1440E-05,-2.930E-03
-5.1424E-05,2.637E-02
-5.1408E-05,-2.930E-03
-5.1392E-05,6.836E-03
-5.1376E-05,2.637E-02
-5.1360E-05,6.836E-03
-5.1344E-05,-1.270E-02
-5.1328E-05,-2.930E-03
-5.1312E-05,6.836E-03
-5.1296E-05,6.836E-03
-5.1280E-05,6.836E-03
-5.1264E-05,6.836E-03
-5.1248E-05,-2.246E-02
-5.1232E-05,6.836E-03
-5.1216E-05,-2.930E-03
-5.1200E-05,6.836E-03
-5.1184E-05,6.836E-03
-5.1168E-05,2.637E-02
-5.1152E-05,1.660E-02
-5.1136E-05,1.660E-02
-5.1120E-05,6.836E-03
-5.1104E-05,6.836E-03
-5.1088E-05,1.660E-02
-5.1072E-05,1.660E-02
-5.1056E-05,-2.930E-03
-5.1040E-05,2.637E-02
-5.1024E-05,2.637E-02
-5.1008E-05,2.637E-02
-5.0992E-05,-2.930E-03
-5.0976E-05,-2.930E-03
-5.0960E-05,1.660E-02
-5.0944E-05,-1.270E-02
-5.0928E-05,6.836E-03
-5.0912E-05,-2.930E-03
-5.0896E-05,1.660E-02
-5.0880E-05,2.637E-02
-5.0864E-05,-2.930E-03
-5.0848E-05,-2.930E-03
-5.0832E-05,2.637E-02
-5.0816E-05,6.836E-03
-5.0800E-05,-2.930E-03
-5.0784E-05,-1.270E-02
-5.0768E-05,2.637E-02
-5.0752E-05,-2.930E-03
-5.0736E-05,2.637E-02
-5.0720E-05,1.660E-02
-5.0704E-05,6.836E-03
-5.0688E-05,2.637E-02
-5.0672E-05,3.613E-02
-5.0656E-05,6.836E-03
-5.0640E-05,-2.930E-03
-5.0624E-05,3.613E-02
-5.0608E-05,1.660E-02
-5.0592E-05,6.836E-03
-5.0576E-05,-1.270E-02
-5.0560E-05,1.660E-02
-5.0544E-05,2.637E-02
-5.0528E-05,2.637E-02
-5.0512E-05,1.660E-02
-5.0496E-05,5.566E-02
-5.0480E-05,1.660E-02
-5.0464E-05,1.660E-02
-5.0448E-05,-2.930E-03
-5.0432E-05,5.566E-02
-5.0416E-05,2.637E-02
-5.0400E-05,1.660E-02
-5.0384E-05,-2.930E-03
-5.0368E-05,-2.930E-03
-5.0352E-05,6.836E-03
-5.0336E-05,6.836E-03
-5.0320E-05,6.836E-03
-5.0304E-05,1.660E-02
-5.0288E-05,6.836E-03
-5.0272E-05,-2.930E-03
-5.0256E-05,-2.930E-03
-5.0240E-05,-2.930E-03
